ID,title,authors,abstract
*research1297,Minimal OnRoad Time Route Scheduling on Time-Dependent Graph,"Lei Li, University of Queensland; Wen Hua, University of Queensland; Xingzhong Du, University of Queensland; Xiaofang Zhou, University of Queensland","On time-dependent graph, fastest path query is an important problem and has been well studied. It focuses on minimizing the total travel time(waiting time + on-road time) but does not allow waiting on any intermediate vertex if FIFO property is applied. However, in practice, waiting on a vertex has the ability to reduce the time spent on road (for example, resuming traveling after a traffic jam). In this paper, we study how to find a path with the minimal on-road time on time-dependent graph by allowing waiting on some predefined parking vertices. The existing works are based on the following fact: the arrival time of a vertex v is determined by the arrival time of its in-neighbor u, which does not hold in our scenario since we also consider the waiting time on u if u allowing waiting. Thus, determining the waiting time on each parking vertex to achieve the minimal on-road time becomes a big challenge, which further breaks FIFO property. To cope with this challenging problem, we propose two efficient algorithms using minimum on-road travel cost function to answer the query. The evaluations on real-world road networks show that the proposed algorithms are more accurate and efficient than the extensions of existing algorithms. In addition to that, the results further indicate, if the parking facilities are enabled in the route scheduling algorithms, the on-road time will reduce significantly compared to the fastest path algorithm."
*research1304,A holistic view of stream partitioning costs,"Nikos R. Katsipoulakis, University of Pittsburgh; Alexandros   Labrinidis, University of Pittsburgh; Panos Chrysanthis, University of Pittsburgh","Stream processing has become the dominant processing model for monitoring and real_time analytics. Modern Parallel Stream Processing Engines (pSPEs) have made it feasible to increase the performance in both monitoring and analytical queries by parallelizing a queryês execution and distributing the load on multiple workers. A determining factor for the performance of a pSPE is the partitioning algorithm used to disseminate tuples to the workers. Until now, partitioning methods in pSPEs have been similar to the ones used in parallel databases and only recently load-aware algorithms have been employed to improve the effectiveness of parallel execution. We identify and demonstrate the need to incorporate aggregation costs in the partitioning model when executing stateful operations in parallel, in order to minimize the overall latency and/or throughput. Towards this, we propose new stream partitioning algorithms,that consider both tuple imbalance and aggregation cost. We evaluate our proposed algorithms and show that they can achieve up to an order of magnitude better performance, compared to the current state of the art."
*research1307,Truss-based Community Search: a Truss-equivalence Based Indexing Approach,"Esra Akbas, Florida State University; Peixiang Zhao, Florida State University","We consider the community search problem defined upon a large graph G: given a query vertex q in G, to find as output all the densely connected subgraphs from G, each of which contains the query vertex v. As an online, query-dependent variant of the well-known community detection problem, community search enables personalized community discovery from graphs, and has found a wide range of real-world applications. In this paper, we study the community search problem in the truss-based model aimed at discovering all dense and cohesive k-truss communities to which the query vertex q belongs. We introduce a novel equivalence relation, k-truss equivalence, to model the intrinsic density and cohesiveness of edges in k-truss communities. Consequently, all the edges of G can be partitioned to a series of k-truss equivalence classes that constitute a space-efficient, truss-preserving index structure, EquiTruss. Community search can thus be addressed upon EquiTruss without repeated, time-demanding accesses to the original graph G, which proves to be theoretically optimal. In addition, EquiTruss can be efficiently maintained in a dynamic fashion when G evolves with edge insertion/deletion. Experimental studies validate both the efficiency and effectiveness of EquiTruss in real-world, large-scale graphs, which achieves at least an order of magnitude speedup in community search over the state-of-the-art method, TCP-Index."
*research1310,Query Optimization for Dynamic Imputation,"Jose Cambronero Sanchez, MIT; John Feser, MIT; Micah Smith, MIT; Samuel Madden, MIT","Missing values are common in data analysis and present a usability challenge. Users are forced to pick between removing tuples with missing values or creating a cleaned version of their data by applying a relatively expensive imputation strategy. Our system, ImputeDB, incorporates imputation into a cost-based query optimizer, performing necessary imputations on-the-fly for each query. This allows users to immediately explore their data, while the system picks the optimal placement of imputation operations. We evaluate this approach on three real-world survey-based datasets. Our experiments show that our query plans execute between 10 and 140 times faster than first imputing the base tables. Furthermore, we show that the query results from on-the-fly imputation differ from the traditional base-table imputation approach by 0_20%. Finally, we show that while dropping tuples with missing values that fail query constraints discards 6_78% of the data, on-the-fly imputation loses only 0_21%."
*research1317,In Search of an Entity Resolution OASIS: Optimal Asymptotic Sequential Importance Sampling,"Neil Marchant, University of Melbourne; Benjamin Rubinstein, University of Melbourne","Entity resolution (ER) presents unique challenges for evaluation methodology. While crowdsourcing platforms acquire ground truth, sound approaches to sampling must drive labelling efforts. In ER, extreme class imbalance between matching and non-matching records can lead to enormous labelling requirements when seeking statistically consistent estimates for rigorous evaluation. This paper addresses this important challenge with the OASIS algorithm: a sampler and F-measure estimator for ER evaluation. OASIS draws samples from a (biased) instrumental distribution, chosen to ensure estimators with optimal asymptotic variance. As new labels are collected OASIS updates this instrumental distribution via a Bayesian latent variable model of the annotator oracle, to quickly focus on unlabelled items providing more information. We prove that resulting estimates of F-measure, precision, recall converge to the true population values. Thorough comparisons of sampling methods on a variety of ER datasets demonstrate significant labelling reductions of up to 83% without loss to estimate accuracy."
*research1319,Flexible Online Task Assignment in Real-Time Spatial Data,"Yongxin Tong, Beihang University; Libin Wang, Beihang University; Zimu Zhou, ETH; Bolin Ding, Microsoft Research; Lei Chen, HKUST; Jieping Ye, Didi Research; Ke Xu, Beihang University","The popularity of Online To Offline (O2O) service platforms has spurred the need for effective online task assignment in real-time spatial data, where streams of spatially distributed tasks and workers are matched in real time such that the total number of assigned pairs is maximized. Existing online task assignment models assume that each worker is either assigned a task immediately or waits for a subsequent task at a fixed location once she/he appears on the platform. However, in practice, a worker may actively move around rather than passively wait at the same location if no task is assigned. If the workers guided effectively, the platform can increase the total number of assigned worker-task pairs, which is overlooked in previous works. In this paper, we define a new problem Flexible Two-sided Online task Assignment (FTOA). To address the FTOA problem, we face two challenges: (i) How to leverage the prediction of the spatiotemporal distribution of tasks and workers to effectively generate guidance for idle workers? (ii) How to leverage the guide of workerês movement to optimize the online task assignment? To this end, we propose a novel two-step framework, which integrates offline prediction and online task assignment. Specifically, the offline prediction component estimates the distributions of tasks and workers per time slot and per unit area, based on which we develop an online task assignment algorithm, Prediction-oriented Online task Assignment in Real-time spatial data (POLAR). POLAR-OP not only yields a 0.5-competitive ratio,  which is nearly twice better than that of the state-of-the-art, but also makes the time complexity of processing each newly-arrived task/worker to O(1). We verify the effectiveness and efficiency of our methods through extensive experiments on both synthetic datasets and a large-scale real-time taxi-calling platform."
*research1320,A Forward Scan based Plane Sweep Algorithm for Parallel Interval Joins,"Panagiotis Bouros; Nikos Mamoulis, Hong Kong University","The interval join is a basic  operation that finds application in temporal,  spatial, and uncertain databases.  Although a number of centralized and distributed algorithms have been proposed for the efficient evaluation of interval joins,  classic plane sweep approaches have not been considered at their full potential. A recent piece of related work proposes an optimized approach based on plane sweep for modern hardware, showing that it greatly outperforms previous work. However, this approach depends on the development of a complex data structure and its parallelization has not been adequately studied. In this paper, we explore the applicability of a largely ignored forward scan (FS) based plane sweep algorithm, which is extremely simple to implement. We proposed two novel optimized versions of FS that greatly reduce its cost, making it competitive to the state-of-the-art single-threaded algorithm.  In addition, we show the drawbacks of a previously proposed hash-based partitioning approach for parallel join processing and suggest a domain-based partitioning approach that does not produce duplicate results.  Within our approach we propose a novel breakdown of the partition join jobs into a small number of independent mini-join jobs with varying cost and manage to avoid redundant comparisons. Finally, we show how these mini joins can be scheduled in a smaller number of CPU cores and propose an adaptive domain partitioning, aiming at load balancing. We include an experimental study that  demonstrates the efficiency of our optimized FS and the scalability of our parallelization framework."
*research1321,ASAP: A Streaming Operator for Smoothing Time Series Visualizations,"Kexin Rong, Stanford University; Peter Bailis, Stanford University","Time series visualization of streaming telemetry (i.e., charting of key metrics such as server load over time) is increasingly prevalent in recent application deployments.  Existing systems simply plot the raw data streams as they arrive, potentially obscuring large-scale deviations due to local variance and noise. We propose an alternative: to better prioritize attention in time series exploration and monitoring visualizations, smooth the time series as much as possible to remove noise and thus highlight long-term deviations. We develop a new technique for automatically smoothing streaming time series that adaptively optimizes this trade-off between noise reduction (i.e., variance) and outlier retention (i.e., kurtosis). We introduce metrics to quantitatively assess the quality of the choice of smoothing parameter and provide an efficient streaming analytics operator, ASAP, that optimizes these metrics by combining techniques from stream processing, user interface design, and signal processing via a novel autocorrelation-based pruning strategy and pixel-aware preaggregation. We demonstrate that ASAP is able to improve users' accuracy in identifying significant deviations in time series by up to 38.4\% while reducing response times by up to 44.3\%. Moreover, ASAP delivers these results several orders of magnitude faster than alternative optimization strategies."
*research1327,Knowledge Verification for LongTail Verticals [Experiments and Analyses],"Furong Li, National University of Singapo; Xin Luna Dong, Amazon; Anno Langen; Yang Li, Google Inc.","Collecting structured knowledge for real-world entities has become a critical task for many applications. A big gap between the knowledge in existing knowledge repositories and the knowledge in the real world is the knowledge on tail verticals (i.e., less popular domains). Such knowledge, though not necessarily globally popular, can be personal hobbies to many people and thus collectively impactful. This paper studies the problem of knowledge verification for tail verticals; that is, deciding the correctness of a given triple.   Through comprehensive experimental study we answer the following questions. 1) Can we find evidence for tail knowledge from an extensive set of sources, including knowledge bases, the web, and query logs? 2) Can we judge correctness of the triples based on the collected evidence? 3) How can we further improve knowledge verification on tail verticals? Our empirical study suggests a new knowledge-verification framework, which we call FACTY, that applies various kinds of evidence collection techniques followed by knowledge fusion. FACTY can verify 50% of the (correct) tail knowledge with a precision of 84%, and it significantly outperforms state-of-the-art methods. Detailed error analysis on the obtained results suggests future research directions."
*research1330,SkyGraph: Retrieving Regions of Interest using Skyline Subgraph Queries,"Shiladitya Pande, IIT Madras; Sayan Ranu, IIT Delhi; Arnab Bhattacharya, IIT Kanpur","Several services today are annotated with \emph{points of interest (PoIs)}. In this paper, we study the scenario where a user wants to identify the best \emph{region of interest (RoI)} in a city. An RoI is a neighborhood that contains PoIs relevant to the user. The user expresses relevance through a set of keywords such as ``coffee shop'', ``park'', etc. Ideally, the RoI should be small enough in size so that the user can conveniently explore the PoIs. How does one balance the importance of size versus relevance? To a user exploring the RoI on foot, size is critical for convenience. On the other hand, to a user equipped with a vehicle, relevance is a more important factor. In this paper, we solve this dilemma through \emph{skyline subgraph queries} on keyword-embedded road networks. Skyline subgraphs subsume the choice of optimization function for an RoI since the optimal RoI for any rational user is necessarily a part of the skyline set.  Our analysis reveals that the problem of computing the skyline set is NP-hard. We overcome this computational bottleneck by proposing a polynomial-time approximation algorithm called \emph{SkyGraph}. To further expedite the running time, we develop an index structure called \emph{Partner Index} that drastically prunes the search space and provides up to $3$ orders of magnitude speed-up on real road networks. "
